Random seed = 1400458934
/p/work/rditljtd/automl_zero/baseline.db3
evol_id:84222
SQLite Version: 3.45.1

Creating database for run.
/p/work/rditljtd/automl_zero/baseline.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=92, mean=0.617435, stdev=0.111210, best fit=0.669100, best_overall=0.669100, mean_diversity=0.189041,
indivs=20396, elapsed_secs=206, mean=0.606636, stdev=0.137590, best fit=0.669800, best_overall=0.669800, mean_diversity=0.182085,
indivs=30494, elapsed_secs=292, mean=0.594062, stdev=0.155102, best fit=0.670400, best_overall=0.670400, mean_diversity=0.159367,
indivs=40592, elapsed_secs=384, mean=0.608638, stdev=0.152973, best fit=0.670400, best_overall=0.670400, mean_diversity=0.314697,
indivs=50690, elapsed_secs=607, mean=0.596829, stdev=0.132224, best fit=0.670400, best_overall=0.670400, mean_diversity=0.266164,
indivs=60788, elapsed_secs=805, mean=0.608603, stdev=0.105860, best fit=0.670500, best_overall=0.670500, mean_diversity=0.134028,
indivs=70886, elapsed_secs=1001, mean=0.575695, stdev=0.183976, best fit=0.670500, best_overall=0.670500, mean_diversity=0.143447,
indivs=80984, elapsed_secs=1195, mean=0.582336, stdev=0.165267, best fit=0.670500, best_overall=0.670500, mean_diversity=0.312537,
indivs=91082, elapsed_secs=1554, mean=0.612746, stdev=0.128658, best fit=0.670500, best_overall=0.670500, mean_diversity=0.130384,
indivs=101180, elapsed_secs=1783, mean=0.610221, stdev=0.114582, best fit=0.670500, best_overall=0.670500, mean_diversity=0.170437,
indivs=111278, elapsed_secs=2031, mean=0.597438, stdev=0.144293, best fit=0.670500, best_overall=0.670500, mean_diversity=0.183280,
indivs=121376, elapsed_secs=2402, mean=0.584729, stdev=0.175877, best fit=0.670500, best_overall=0.670500, mean_diversity=0.119928,
indivs=131474, elapsed_secs=2699, mean=0.599487, stdev=0.142935, best fit=0.670900, best_overall=0.670900, mean_diversity=0.193462,
indivs=141572, elapsed_secs=3052, mean=0.615277, stdev=0.127002, best fit=0.670900, best_overall=0.670900, mean_diversity=0.159154,
indivs=151670, elapsed_secs=3363, mean=0.601317, stdev=0.163922, best fit=0.672400, best_overall=0.672400, mean_diversity=0.092703,
indivs=161768, elapsed_secs=3678, mean=0.579772, stdev=0.185367, best fit=0.676800, best_overall=0.676800, mean_diversity=0.147273,
indivs=171866, elapsed_secs=3903, mean=0.601082, stdev=0.155047, best fit=0.676800, best_overall=0.676800, mean_diversity=0.140754,
indivs=181964, elapsed_secs=4172, mean=0.570108, stdev=0.191342, best fit=0.676800, best_overall=0.676800, mean_diversity=0.324818,
indivs=192062, elapsed_secs=4416, mean=0.606832, stdev=0.129875, best fit=0.676800, best_overall=0.676800, mean_diversity=0.196118,
indivs=202160, elapsed_secs=4701, mean=0.579845, stdev=0.184907, best fit=0.676800, best_overall=0.676800, mean_diversity=0.196547,
indivs=212258, elapsed_secs=4977, mean=0.570524, stdev=0.190281, best fit=0.676800, best_overall=0.676800, mean_diversity=0.146897,
indivs=222356, elapsed_secs=5252, mean=0.606662, stdev=0.143949, best fit=0.676800, best_overall=0.676800, mean_diversity=0.244581,
indivs=232454, elapsed_secs=5572, mean=0.604687, stdev=0.130582, best fit=0.676800, best_overall=0.676800, mean_diversity=0.153014,
indivs=242552, elapsed_secs=5926, mean=0.604793, stdev=0.165487, best fit=0.677000, best_overall=0.677000, mean_diversity=0.152825,
indivs=252650, elapsed_secs=6159, mean=0.599711, stdev=0.154838, best fit=0.677000, best_overall=0.677000, mean_diversity=0.219000,
indivs=262748, elapsed_secs=6431, mean=0.609216, stdev=0.165329, best fit=0.677000, best_overall=0.677000, mean_diversity=0.156611,
indivs=272846, elapsed_secs=6677, mean=0.607011, stdev=0.165140, best fit=0.677000, best_overall=0.677000, mean_diversity=0.212000,
