Random seed = 1404564195
/p/work/rditljtd/automl_zero/baseline.db3
evol_id:82697
SQLite Version: 3.45.1

Creating database for run.
/p/work/rditljtd/automl_zero/baseline.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=82, mean=0.499937, stdev=0.024633, best fit=0.583700, best_overall=0.583700, mean_diversity=0.219331,
indivs=20396, elapsed_secs=152, mean=0.530686, stdev=0.033547, best fit=0.597500, best_overall=0.597500, mean_diversity=0.387778,
indivs=30494, elapsed_secs=272, mean=0.516628, stdev=0.089660, best fit=0.600500, best_overall=0.600500, mean_diversity=0.164087,
indivs=40592, elapsed_secs=417, mean=0.528756, stdev=0.027750, best fit=0.602900, best_overall=0.602900, mean_diversity=0.179100,
indivs=50690, elapsed_secs=523, mean=0.533090, stdev=0.034657, best fit=0.602900, best_overall=0.602900, mean_diversity=0.175512,
indivs=60788, elapsed_secs=703, mean=0.629164, stdev=0.092568, best fit=0.669100, best_overall=0.669100, mean_diversity=0.308904,
indivs=70886, elapsed_secs=1005, mean=0.601525, stdev=0.142540, best fit=0.669200, best_overall=0.669200, mean_diversity=0.180934,
indivs=80984, elapsed_secs=1358, mean=0.593191, stdev=0.155018, best fit=0.669300, best_overall=0.669300, mean_diversity=0.209691,
indivs=91082, elapsed_secs=1725, mean=0.596011, stdev=0.165345, best fit=0.669300, best_overall=0.669300, mean_diversity=0.248276,
indivs=101180, elapsed_secs=2065, mean=0.609242, stdev=0.142044, best fit=0.669300, best_overall=0.669300, mean_diversity=0.179968,
indivs=111278, elapsed_secs=2463, mean=0.620060, stdev=0.114927, best fit=0.673500, best_overall=0.673500, mean_diversity=0.343148,
indivs=121376, elapsed_secs=2840, mean=0.607714, stdev=0.144055, best fit=0.674100, best_overall=0.674100, mean_diversity=0.248483,
