Random seed = 1404919245
/p/work/rditljtd/automl_zero/baseline.db3
evol_id:3530
SQLite Version: 3.45.1

Creating database for run.
/p/work/rditljtd/automl_zero/baseline.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=91, mean=0.484478, stdev=0.096648, best fit=0.576500, best_overall=0.576500, mean_diversity=0.271395,
indivs=20396, elapsed_secs=212, mean=0.537028, stdev=0.066060, best fit=0.599100, best_overall=0.599100, mean_diversity=0.201470,
indivs=30494, elapsed_secs=501, mean=0.552904, stdev=0.033156, best fit=0.599100, best_overall=0.599100, mean_diversity=0.157320,
indivs=40592, elapsed_secs=768, mean=0.533443, stdev=0.113712, best fit=0.599100, best_overall=0.599100, mean_diversity=0.178302,
indivs=50690, elapsed_secs=1090, mean=0.643258, stdev=0.083987, best fit=0.669800, best_overall=0.669800, mean_diversity=0.136324,
indivs=60788, elapsed_secs=1488, mean=0.622539, stdev=0.116230, best fit=0.671700, best_overall=0.671700, mean_diversity=0.066468,
indivs=70886, elapsed_secs=1881, mean=0.581985, stdev=0.183676, best fit=0.671700, best_overall=0.671700, mean_diversity=0.243555,
indivs=80984, elapsed_secs=2271, mean=0.628219, stdev=0.092206, best fit=0.671800, best_overall=0.671800, mean_diversity=0.156195,
indivs=91082, elapsed_secs=2587, mean=0.597043, stdev=0.152143, best fit=0.671800, best_overall=0.671800, mean_diversity=0.162137,
indivs=101180, elapsed_secs=2990, mean=0.619361, stdev=0.097119, best fit=0.671800, best_overall=0.671800, mean_diversity=0.330960,
indivs=111278, elapsed_secs=3244, mean=0.612037, stdev=0.115868, best fit=0.671800, best_overall=0.671800, mean_diversity=0.272525,
indivs=121376, elapsed_secs=3578, mean=0.623275, stdev=0.094869, best fit=0.671800, best_overall=0.671800, mean_diversity=0.364013,
indivs=131474, elapsed_secs=3867, mean=0.610550, stdev=0.140574, best fit=0.671800, best_overall=0.671800, mean_diversity=0.239958,
indivs=141572, elapsed_secs=4175, mean=0.612046, stdev=0.153179, best fit=0.672600, best_overall=0.672600, mean_diversity=0.201571,
