Random seed = 679721740
/p/work/rditljtd/automl_zero/baseline.db3
evol_id:86410
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=164, mean=0.508256, stdev=0.135805, best fit=0.591400, best_overall=0.591400, mean_diversity=0.231076,
indivs=20396, elapsed_secs=466, mean=0.555523, stdev=0.133692, best fit=0.615600, best_overall=0.615600, mean_diversity=0.147520,
indivs=30494, elapsed_secs=789, mean=0.627334, stdev=0.090885, best fit=0.669100, best_overall=0.669100, mean_diversity=0.267898,
indivs=40592, elapsed_secs=1112, mean=0.620016, stdev=0.111731, best fit=0.673000, best_overall=0.673000, mean_diversity=0.106137,
indivs=50690, elapsed_secs=1416, mean=0.616329, stdev=0.114559, best fit=0.673200, best_overall=0.673200, mean_diversity=0.163929,
indivs=60788, elapsed_secs=1705, mean=0.607487, stdev=0.144152, best fit=0.673600, best_overall=0.673600, mean_diversity=0.168583,
indivs=70886, elapsed_secs=1976, mean=0.587269, stdev=0.178952, best fit=0.673700, best_overall=0.673700, mean_diversity=0.081257,
indivs=80984, elapsed_secs=2299, mean=0.554364, stdev=0.226685, best fit=0.679200, best_overall=0.679200, mean_diversity=0.138677,
indivs=91082, elapsed_secs=2605, mean=0.544743, stdev=0.237321, best fit=0.679200, best_overall=0.679200, mean_diversity=0.167204,
indivs=101180, elapsed_secs=2919, mean=0.597700, stdev=0.185534, best fit=0.679200, best_overall=0.679200, mean_diversity=0.130543,
indivs=111278, elapsed_secs=3163, mean=0.598512, stdev=0.166685, best fit=0.679300, best_overall=0.679300, mean_diversity=0.115971,
indivs=121376, elapsed_secs=3437, mean=0.570916, stdev=0.212513, best fit=0.679300, best_overall=0.679300, mean_diversity=0.182692,
indivs=131474, elapsed_secs=3714, mean=0.570618, stdev=0.209407, best fit=0.679300, best_overall=0.679300, mean_diversity=0.247300,
