Random seed = 3553036499
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
evol_id:58797
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
Random seed = 4010383482
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
evol_id:38173
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=1, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=232, mean=0.495479, stdev=0.050400, best fit=0.574000, best_overall=0.574000, mean_diversity=0.330306,
indivs=20396, elapsed_secs=531, mean=0.517161, stdev=0.076927, best fit=0.669100, best_overall=0.669100, mean_diversity=0.310097,
indivs=30494, elapsed_secs=895, mean=0.516208, stdev=0.125736, best fit=0.669200, best_overall=0.669200, mean_diversity=0.278330,
indivs=40592, elapsed_secs=1200, mean=0.556630, stdev=0.198880, best fit=0.669200, best_overall=0.669200, mean_diversity=0.206884,
indivs=50690, elapsed_secs=1528, mean=0.500866, stdev=0.170218, best fit=0.683000, best_overall=0.683000, mean_diversity=0.357419,
indivs=60788, elapsed_secs=1854, mean=0.522675, stdev=0.200872, best fit=0.687300, best_overall=0.687300, mean_diversity=0.160325,
indivs=70886, elapsed_secs=2191, mean=0.444009, stdev=0.240371, best fit=0.687300, best_overall=0.687300, mean_diversity=0.284123,
indivs=80984, elapsed_secs=2548, mean=0.542119, stdev=0.151611, best fit=0.688400, best_overall=0.688400, mean_diversity=0.269075,
indivs=91082, elapsed_secs=2901, mean=0.448804, stdev=0.162720, best fit=0.688400, best_overall=0.688400, mean_diversity=0.161225,
indivs=101180, elapsed_secs=3269, mean=0.529441, stdev=0.185637, best fit=0.688400, best_overall=0.688400, mean_diversity=0.304020,
indivs=111278, elapsed_secs=3635, mean=0.531545, stdev=0.118115, best fit=0.688400, best_overall=0.688400, mean_diversity=0.549818,
indivs=121376, elapsed_secs=3999, mean=0.468866, stdev=0.142862, best fit=0.688400, best_overall=0.688400, mean_diversity=0.096250,
indivs=131474, elapsed_secs=4351, mean=0.557512, stdev=0.137962, best fit=0.688400, best_overall=0.688400, mean_diversity=0.284172,
indivs=141572, elapsed_secs=4713, mean=0.474014, stdev=0.157441, best fit=0.688500, best_overall=0.688500, mean_diversity=0.286483,
indivs=151670, elapsed_secs=5072, mean=0.525421, stdev=0.176183, best fit=0.688500, best_overall=0.688500, mean_diversity=0.159363,
