Random seed = 3569688665
Random seed = 4017669835
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
evol_id:67264
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=1, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=141, mean=0.500668, stdev=0.006850, best fit=0.568800, best_overall=0.568800, mean_diversity=0.202949,
indivs=20396, elapsed_secs=345, mean=0.501940, stdev=0.009492, best fit=0.574500, best_overall=0.574500, mean_diversity=0.147066,
indivs=30494, elapsed_secs=575, mean=0.500863, stdev=0.007493, best fit=0.574500, best_overall=0.574500, mean_diversity=0.158780,
indivs=40592, elapsed_secs=838, mean=0.496689, stdev=0.052672, best fit=0.668900, best_overall=0.668900, mean_diversity=0.141380,
indivs=50690, elapsed_secs=1114, mean=0.523797, stdev=0.129854, best fit=0.670400, best_overall=0.670400, mean_diversity=0.227351,
indivs=60788, elapsed_secs=1340, mean=0.493607, stdev=0.076933, best fit=0.670500, best_overall=0.670500, mean_diversity=0.265309,
indivs=70886, elapsed_secs=1532, mean=0.491311, stdev=0.072364, best fit=0.670500, best_overall=0.670500, mean_diversity=0.142154,
indivs=80984, elapsed_secs=1740, mean=0.540325, stdev=0.092526, best fit=0.670500, best_overall=0.670500, mean_diversity=0.422127,
indivs=91082, elapsed_secs=1957, mean=0.565243, stdev=0.146377, best fit=0.670500, best_overall=0.670500, mean_diversity=0.309706,
indivs=101180, elapsed_secs=2165, mean=0.578430, stdev=0.102744, best fit=0.671300, best_overall=0.671300, mean_diversity=0.153922,
indivs=111278, elapsed_secs=2356, mean=0.501733, stdev=0.017043, best fit=0.671300, best_overall=0.671300, mean_diversity=0.284075,
indivs=121376, elapsed_secs=2534, mean=0.510332, stdev=0.040158, best fit=0.671300, best_overall=0.671300, mean_diversity=0.273287,
indivs=131474, elapsed_secs=2712, mean=0.516914, stdev=0.050743, best fit=0.671300, best_overall=0.671300, mean_diversity=0.227000,
indivs=141572, elapsed_secs=2898, mean=0.609263, stdev=0.098958, best fit=0.671300, best_overall=0.671300, mean_diversity=0.099112,
indivs=151670, elapsed_secs=3054, mean=0.531419, stdev=0.104943, best fit=0.671300, best_overall=0.671300, mean_diversity=0.291064,
indivs=161768, elapsed_secs=3236, mean=0.508940, stdev=0.068733, best fit=0.671300, best_overall=0.671300, mean_diversity=0.462821,
indivs=171866, elapsed_secs=3393, mean=0.540230, stdev=0.091483, best fit=0.671300, best_overall=0.671300, mean_diversity=0.364030,
indivs=181964, elapsed_secs=3568, mean=0.535130, stdev=0.069418, best fit=0.671300, best_overall=0.671300, mean_diversity=0.433776,
indivs=192062, elapsed_secs=3723, mean=0.598433, stdev=0.083163, best fit=0.671300, best_overall=0.671300, mean_diversity=0.151550,
indivs=202160, elapsed_secs=3873, mean=0.568512, stdev=0.081670, best fit=0.671300, best_overall=0.671300, mean_diversity=0.237528,
indivs=212258, elapsed_secs=4033, mean=0.498399, stdev=0.055454, best fit=0.671300, best_overall=0.671300, mean_diversity=0.112031,
indivs=222356, elapsed_secs=4202, mean=0.575870, stdev=0.085833, best fit=0.671300, best_overall=0.671300, mean_diversity=0.309936,
indivs=232454, elapsed_secs=4406, mean=0.551840, stdev=0.077119, best fit=0.671300, best_overall=0.671300, mean_diversity=0.380286,
