Random seed = 2259847146
/p/work/rditljtd/automl_zero/baseline_full_qd.db3
evol_id:23590
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_full_qd.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=36, mean=0.500064, stdev=0.001023, best fit=0.509700, best_overall=0.509700, mean_diversity=0.128246,
indivs=20396, elapsed_secs=43, mean=0.501380, stdev=0.011755, best fit=0.551900, best_overall=0.551900, mean_diversity=0.213987,
indivs=30494, elapsed_secs=48, mean=0.500519, stdev=0.005164, best fit=0.551900, best_overall=0.551900, mean_diversity=0.038704,
indivs=40592, elapsed_secs=55, mean=0.510828, stdev=0.020565, best fit=0.558400, best_overall=0.558400, mean_diversity=0.202797,
indivs=50690, elapsed_secs=62, mean=0.504753, stdev=0.016152, best fit=0.565200, best_overall=0.565200, mean_diversity=0.137771,
indivs=60788, elapsed_secs=69, mean=0.501091, stdev=0.009077, best fit=0.568100, best_overall=0.568100, mean_diversity=0.146579,
indivs=70886, elapsed_secs=78, mean=0.490685, stdev=0.067104, best fit=0.575700, best_overall=0.575700, mean_diversity=0.141061,
indivs=80984, elapsed_secs=89, mean=0.477161, stdev=0.098872, best fit=0.586700, best_overall=0.586700, mean_diversity=0.134275,
indivs=91082, elapsed_secs=98, mean=0.459681, stdev=0.148221, best fit=0.586700, best_overall=0.586700, mean_diversity=0.047146,
indivs=101180, elapsed_secs=107, mean=0.503681, stdev=0.075710, best fit=0.586700, best_overall=0.586700, mean_diversity=0.195255,
indivs=111278, elapsed_secs=113, mean=0.501095, stdev=0.008898, best fit=0.586700, best_overall=0.586700, mean_diversity=0.180664,
indivs=121376, elapsed_secs=119, mean=0.500867, stdev=0.008627, best fit=0.586700, best_overall=0.586700, mean_diversity=0.085946,
indivs=131474, elapsed_secs=126, mean=0.491891, stdev=0.060407, best fit=0.586700, best_overall=0.586700, mean_diversity=0.092519,
indivs=141572, elapsed_secs=133, mean=0.498391, stdev=0.052201, best fit=0.586700, best_overall=0.586700, mean_diversity=0.285204,
indivs=151670, elapsed_secs=141, mean=0.486251, stdev=0.078618, best fit=0.586700, best_overall=0.586700, mean_diversity=0.137156,
indivs=161768, elapsed_secs=148, mean=0.441786, stdev=0.161627, best fit=0.586700, best_overall=0.586700, mean_diversity=0.244828,
indivs=171866, elapsed_secs=156, mean=0.495146, stdev=0.031399, best fit=0.586700, best_overall=0.586700, mean_diversity=0.150795,
indivs=181964, elapsed_secs=163, mean=0.477398, stdev=0.105256, best fit=0.586700, best_overall=0.586700, mean_diversity=0.402331,
indivs=192062, elapsed_secs=170, mean=0.475748, stdev=0.087683, best fit=0.586700, best_overall=0.586700, mean_diversity=0.265051,
indivs=202160, elapsed_secs=178, mean=0.500426, stdev=0.009852, best fit=0.587700, best_overall=0.587700, mean_diversity=0.232540,
indivs=212258, elapsed_secs=186, mean=0.504275, stdev=0.092663, best fit=0.587700, best_overall=0.587700, mean_diversity=0.325865,
indivs=222356, elapsed_secs=193, mean=0.457886, stdev=0.144724, best fit=0.587700, best_overall=0.587700, mean_diversity=0.279212,
indivs=232454, elapsed_secs=200, mean=0.496703, stdev=0.050962, best fit=0.587700, best_overall=0.587700, mean_diversity=0.256598,
indivs=242552, elapsed_secs=207, mean=0.486174, stdev=0.086189, best fit=0.587700, best_overall=0.587700, mean_diversity=0.201741,
indivs=252650, elapsed_secs=214, mean=0.486435, stdev=0.083234, best fit=0.593200, best_overall=0.593200, mean_diversity=0.098143,
indivs=262748, elapsed_secs=220, mean=0.496344, stdev=0.097298, best fit=0.593200, best_overall=0.593200, mean_diversity=0.126805,
indivs=272846, elapsed_secs=227, mean=0.500529, stdev=0.011164, best fit=0.593200, best_overall=0.593200, mean_diversity=0.274789,
indivs=282944, elapsed_secs=234, mean=0.502871, stdev=0.054322, best fit=0.593200, best_overall=0.593200, mean_diversity=0.255337,
indivs=293042, elapsed_secs=240, mean=0.492462, stdev=0.071494, best fit=0.593200, best_overall=0.593200, mean_diversity=0.263737,
indivs=303140, elapsed_secs=247, mean=0.501138, stdev=0.009364, best fit=0.593200, best_overall=0.593200, mean_diversity=0.069288,
indivs=313238, elapsed_secs=253, mean=0.500932, stdev=0.009273, best fit=0.593200, best_overall=0.593200, mean_diversity=0.119270,
