Random seed = 1898892428
/p/work/rditljtd/automl_zero/baseline_full_qd.db3
evol_id:16042
SQLite Version: 3.45.1

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_full_qd.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10236, elapsed_secs=42, mean=0.497477, stdev=0.015477, best fit=0.563900, best_overall=0.563900, mean_diversity=0.279112,
indivs=20333, elapsed_secs=52, mean=0.516343, stdev=0.024096, best fit=0.573300, best_overall=0.573300, mean_diversity=0.096852,
indivs=30452, elapsed_secs=87, mean=0.523857, stdev=0.029351, best fit=0.573300, best_overall=0.573300, mean_diversity=0.100704,
indivs=40537, elapsed_secs=158, mean=0.511308, stdev=0.060192, best fit=0.578700, best_overall=0.578700, mean_diversity=0.046526,
indivs=50638, elapsed_secs=168, mean=0.507914, stdev=0.060753, best fit=0.578700, best_overall=0.578700, mean_diversity=0.243374,
indivs=60701, elapsed_secs=175, mean=0.445630, stdev=0.141768, best fit=0.578700, best_overall=0.578700, mean_diversity=0.191783,
indivs=70799, elapsed_secs=188, mean=0.517808, stdev=0.053351, best fit=0.668900, best_overall=0.668900, mean_diversity=0.223861,
indivs=80826, elapsed_secs=197, mean=0.495882, stdev=0.152591, best fit=0.669200, best_overall=0.669200, mean_diversity=0.222494,
indivs=90897, elapsed_secs=233, mean=0.554535, stdev=0.095452, best fit=0.669200, best_overall=0.669200, mean_diversity=0.357414,
indivs=100976, elapsed_secs=241, mean=0.510970, stdev=0.067107, best fit=0.669200, best_overall=0.669200, mean_diversity=0.315507,
indivs=110996, elapsed_secs=257, mean=0.612716, stdev=0.098695, best fit=0.669200, best_overall=0.669200, mean_diversity=0.075007,
indivs=121112, elapsed_secs=278, mean=0.534419, stdev=0.072285, best fit=0.669200, best_overall=0.669200, mean_diversity=0.254824,
indivs=131213, elapsed_secs=297, mean=0.557242, stdev=0.072140, best fit=0.669200, best_overall=0.669200, mean_diversity=0.377840,
indivs=141245, elapsed_secs=314, mean=0.575421, stdev=0.104082, best fit=0.669200, best_overall=0.669200, mean_diversity=0.186160,
indivs=151283, elapsed_secs=332, mean=0.540740, stdev=0.123512, best fit=0.669200, best_overall=0.669200, mean_diversity=0.227690,
indivs=161294, elapsed_secs=379, mean=0.506514, stdev=0.029283, best fit=0.669200, best_overall=0.669200, mean_diversity=0.151588,
indivs=171420, elapsed_secs=420, mean=0.596821, stdev=0.118028, best fit=0.669200, best_overall=0.669200, mean_diversity=0.281442,
indivs=181481, elapsed_secs=439, mean=0.584289, stdev=0.084477, best fit=0.669200, best_overall=0.669200, mean_diversity=0.226021,
indivs=191537, elapsed_secs=446, mean=0.538977, stdev=0.062760, best fit=0.669300, best_overall=0.669300, mean_diversity=0.332905,
indivs=201626, elapsed_secs=550, mean=0.547527, stdev=0.075744, best fit=0.669300, best_overall=0.669300, mean_diversity=0.396471,
indivs=211681, elapsed_secs=588, mean=0.531952, stdev=0.057010, best fit=0.669300, best_overall=0.669300, mean_diversity=0.278720,
indivs=221744, elapsed_secs=603, mean=0.608803, stdev=0.093009, best fit=0.669300, best_overall=0.669300, mean_diversity=0.136820,
indivs=231779, elapsed_secs=670, mean=0.551786, stdev=0.127101, best fit=0.669300, best_overall=0.669300, mean_diversity=0.101607,
indivs=241897, elapsed_secs=679, mean=0.519832, stdev=0.114547, best fit=0.669300, best_overall=0.669300, mean_diversity=0.291688,
indivs=252007, elapsed_secs=699, mean=0.529010, stdev=0.074273, best fit=0.669300, best_overall=0.669300, mean_diversity=0.276627,
indivs=262051, elapsed_secs=707, mean=0.641755, stdev=0.062723, best fit=0.669300, best_overall=0.669300, mean_diversity=0.358000,
indivs=272108, elapsed_secs=751, mean=0.549489, stdev=0.100997, best fit=0.669300, best_overall=0.669300, mean_diversity=0.314353,
indivs=282193, elapsed_secs=806, mean=0.530466, stdev=0.081846, best fit=0.669300, best_overall=0.669300, mean_diversity=0.332746,
indivs=292264, elapsed_secs=816, mean=0.593592, stdev=0.086846, best fit=0.669300, best_overall=0.669300, mean_diversity=0.176745,
indivs=302380, elapsed_secs=838, mean=0.608302, stdev=0.082323, best fit=0.669300, best_overall=0.669300, mean_diversity=0.202817,
indivs=312396, elapsed_secs=848, mean=0.471895, stdev=0.101439, best fit=0.669300, best_overall=0.669300, mean_diversity=0.136925,
indivs=322422, elapsed_secs=876, mean=0.526745, stdev=0.086610, best fit=0.669300, best_overall=0.669300, mean_diversity=0.272610,
indivs=332521, elapsed_secs=902, mean=0.572174, stdev=0.065290, best fit=0.669300, best_overall=0.669300, mean_diversity=0.118226,
indivs=342523, elapsed_secs=946, mean=0.501693, stdev=0.016845, best fit=0.669300, best_overall=0.669300, mean_diversity=0.163080,
indivs=352668, elapsed_secs=954, mean=0.584888, stdev=0.095422, best fit=0.669300, best_overall=0.669300, mean_diversity=0.256067,
indivs=362725, elapsed_secs=976, mean=0.591836, stdev=0.087146, best fit=0.669300, best_overall=0.669300, mean_diversity=0.164902,
indivs=372823, elapsed_secs=985, mean=0.599537, stdev=0.118268, best fit=0.669300, best_overall=0.669300, mean_diversity=0.203143,
indivs=382899, elapsed_secs=1114, mean=0.600198, stdev=0.084820, best fit=0.669300, best_overall=0.669300, mean_diversity=0.160773,
indivs=392914, elapsed_secs=1133, mean=0.493566, stdev=0.084406, best fit=0.669300, best_overall=0.669300, mean_diversity=0.248287,
indivs=402997, elapsed_secs=1152, mean=0.590828, stdev=0.096735, best fit=0.669300, best_overall=0.669300, mean_diversity=0.176759,
indivs=413027, elapsed_secs=1186, mean=0.597235, stdev=0.112300, best fit=0.669300, best_overall=0.669300, mean_diversity=0.063545,
indivs=423126, elapsed_secs=1246, mean=0.553068, stdev=0.085070, best fit=0.669300, best_overall=0.669300, mean_diversity=0.226532,
