Random seed = 1106204600
/p/work/rditljtd/automl_zero/baseline_qd.db3
evol_id:22091
SQLite Version: 3.45.1

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qd.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=238, mean=0.586217, stdev=0.117464, best fit=0.669100, best_overall=0.669100, mean_diversity=0.211894,
indivs=20396, elapsed_secs=586, mean=0.498992, stdev=0.208661, best fit=0.669200, best_overall=0.669200, mean_diversity=0.170371,
indivs=30494, elapsed_secs=956, mean=0.536323, stdev=0.177477, best fit=0.669300, best_overall=0.669300, mean_diversity=0.261189,
indivs=40592, elapsed_secs=1336, mean=0.565303, stdev=0.172735, best fit=0.669300, best_overall=0.669300, mean_diversity=0.111721,
indivs=50690, elapsed_secs=1627, mean=0.584932, stdev=0.099960, best fit=0.671900, best_overall=0.671900, mean_diversity=0.205558,
indivs=60788, elapsed_secs=1916, mean=0.491720, stdev=0.072300, best fit=0.672000, best_overall=0.672000, mean_diversity=0.215743,
indivs=70886, elapsed_secs=2173, mean=0.473011, stdev=0.121643, best fit=0.672000, best_overall=0.672000, mean_diversity=0.310789,
indivs=80984, elapsed_secs=2446, mean=0.597227, stdev=0.145251, best fit=0.672200, best_overall=0.672200, mean_diversity=0.155768,
indivs=91082, elapsed_secs=2754, mean=0.557941, stdev=0.152225, best fit=0.672200, best_overall=0.672200, mean_diversity=0.319034,
indivs=101180, elapsed_secs=3037, mean=0.527469, stdev=0.085172, best fit=0.672200, best_overall=0.672200, mean_diversity=0.276313,
indivs=111278, elapsed_secs=3336, mean=0.579986, stdev=0.107468, best fit=0.672200, best_overall=0.672200, mean_diversity=0.215421,
indivs=121376, elapsed_secs=3629, mean=0.528198, stdev=0.123531, best fit=0.672200, best_overall=0.672200, mean_diversity=0.402331,
indivs=131474, elapsed_secs=3925, mean=0.534754, stdev=0.089427, best fit=0.672300, best_overall=0.672300, mean_diversity=0.454211,
indivs=141572, elapsed_secs=4224, mean=0.574740, stdev=0.135459, best fit=0.672300, best_overall=0.672300, mean_diversity=0.248683,
indivs=151670, elapsed_secs=4517, mean=0.507293, stdev=0.120614, best fit=0.672300, best_overall=0.672300, mean_diversity=0.195293,
indivs=161768, elapsed_secs=4804, mean=0.499603, stdev=0.053114, best fit=0.672300, best_overall=0.672300, mean_diversity=0.131141,
indivs=171866, elapsed_secs=5088, mean=0.500038, stdev=0.208243, best fit=0.672300, best_overall=0.672300, mean_diversity=0.230207,
indivs=181964, elapsed_secs=5390, mean=0.610381, stdev=0.141281, best fit=0.672300, best_overall=0.672300, mean_diversity=0.144020,
indivs=192062, elapsed_secs=5675, mean=0.535585, stdev=0.193152, best fit=0.672300, best_overall=0.672300, mean_diversity=0.224803,
indivs=202160, elapsed_secs=5968, mean=0.517662, stdev=0.101564, best fit=0.672300, best_overall=0.672300, mean_diversity=0.219300,
indivs=212258, elapsed_secs=6252, mean=0.515532, stdev=0.256850, best fit=0.672300, best_overall=0.672300, mean_diversity=0.047750,
indivs=222356, elapsed_secs=6560, mean=0.551442, stdev=0.100319, best fit=0.672300, best_overall=0.672300, mean_diversity=0.129273,
indivs=232454, elapsed_secs=6849, mean=0.585707, stdev=0.180231, best fit=0.672300, best_overall=0.672300, mean_diversity=0.095891,
indivs=242552, elapsed_secs=7137, mean=0.613617, stdev=0.128848, best fit=0.672300, best_overall=0.672300, mean_diversity=0.145671,
indivs=252650, elapsed_secs=7455, mean=0.517587, stdev=0.126941, best fit=0.672300, best_overall=0.672300, mean_diversity=0.277987,
indivs=262748, elapsed_secs=7754, mean=0.532756, stdev=0.134137, best fit=0.672300, best_overall=0.672300, mean_diversity=0.317799,
indivs=272846, elapsed_secs=8041, mean=0.505862, stdev=0.133071, best fit=0.672300, best_overall=0.672300, mean_diversity=0.272466,
indivs=282944, elapsed_secs=8318, mean=0.602314, stdev=0.183814, best fit=0.672300, best_overall=0.672300, mean_diversity=0.058628,
indivs=293042, elapsed_secs=8614, mean=0.510487, stdev=0.170961, best fit=0.672300, best_overall=0.672300, mean_diversity=0.314324,
indivs=303140, elapsed_secs=8895, mean=0.557015, stdev=0.152848, best fit=0.672300, best_overall=0.672300, mean_diversity=0.372581,
indivs=313238, elapsed_secs=9179, mean=0.589997, stdev=0.154313, best fit=0.672300, best_overall=0.672300, mean_diversity=0.171179,
indivs=323336, elapsed_secs=9476, mean=0.529816, stdev=0.132541, best fit=0.672300, best_overall=0.672300, mean_diversity=0.219788,
indivs=333434, elapsed_secs=9770, mean=0.586187, stdev=0.174428, best fit=0.672300, best_overall=0.672300, mean_diversity=0.119480,
indivs=343532, elapsed_secs=10044, mean=0.520310, stdev=0.199918, best fit=0.672300, best_overall=0.672300, mean_diversity=0.239763,
indivs=353630, elapsed_secs=10323, mean=0.521434, stdev=0.152250, best fit=0.672300, best_overall=0.672300, mean_diversity=0.331029,
indivs=363728, elapsed_secs=10629, mean=0.557594, stdev=0.114512, best fit=0.672300, best_overall=0.672300, mean_diversity=0.247695,
