Random seed = 693288117
/p/work/rditljtd/automl_zero/baseline_qd.db3
evol_id:47237
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qd.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=181, mean=0.470145, stdev=0.130736, best fit=0.573000, best_overall=0.573000, mean_diversity=0.294427,
indivs=20396, elapsed_secs=344, mean=0.516025, stdev=0.059405, best fit=0.578600, best_overall=0.578600, mean_diversity=0.336287,
indivs=30494, elapsed_secs=486, mean=0.509260, stdev=0.058178, best fit=0.578600, best_overall=0.578600, mean_diversity=0.274069,
indivs=40592, elapsed_secs=641, mean=0.501488, stdev=0.010433, best fit=0.578600, best_overall=0.578600, mean_diversity=0.103102,
indivs=50690, elapsed_secs=811, mean=0.497571, stdev=0.077997, best fit=0.578600, best_overall=0.578600, mean_diversity=0.237573,
indivs=60788, elapsed_secs=953, mean=0.485822, stdev=0.085829, best fit=0.582200, best_overall=0.582200, mean_diversity=0.133323,
indivs=70886, elapsed_secs=1059, mean=0.500634, stdev=0.075702, best fit=0.584300, best_overall=0.584300, mean_diversity=0.297619,
indivs=80984, elapsed_secs=1329, mean=0.513353, stdev=0.146924, best fit=0.653200, best_overall=0.653200, mean_diversity=0.140445,
indivs=91082, elapsed_secs=1699, mean=0.509823, stdev=0.131673, best fit=0.669800, best_overall=0.669800, mean_diversity=0.233343,
indivs=101180, elapsed_secs=2123, mean=0.529352, stdev=0.141012, best fit=0.681400, best_overall=0.681400, mean_diversity=0.254117,
indivs=111278, elapsed_secs=2567, mean=0.492831, stdev=0.090561, best fit=0.683400, best_overall=0.683400, mean_diversity=0.383774,
indivs=121376, elapsed_secs=2985, mean=0.533843, stdev=0.097459, best fit=0.687100, best_overall=0.687100, mean_diversity=0.423991,
indivs=131474, elapsed_secs=3405, mean=0.481241, stdev=0.171817, best fit=0.687100, best_overall=0.687100, mean_diversity=0.264111,
indivs=141572, elapsed_secs=3866, mean=0.532678, stdev=0.145209, best fit=0.687700, best_overall=0.687700, mean_diversity=0.221911,
indivs=151670, elapsed_secs=4337, mean=0.496875, stdev=0.053316, best fit=0.687700, best_overall=0.687700, mean_diversity=0.174675,
indivs=161768, elapsed_secs=4801, mean=0.532952, stdev=0.109775, best fit=0.687700, best_overall=0.687700, mean_diversity=0.232837,
indivs=171866, elapsed_secs=5229, mean=0.500411, stdev=0.193693, best fit=0.688500, best_overall=0.688500, mean_diversity=0.213013,
indivs=181964, elapsed_secs=5642, mean=0.501813, stdev=0.098381, best fit=0.688500, best_overall=0.688500, mean_diversity=0.290623,
indivs=192062, elapsed_secs=6082, mean=0.534928, stdev=0.173916, best fit=0.688500, best_overall=0.688500, mean_diversity=0.254801,
indivs=202160, elapsed_secs=6499, mean=0.505691, stdev=0.248243, best fit=0.688500, best_overall=0.688500, mean_diversity=0.072734,
indivs=212258, elapsed_secs=6932, mean=0.516979, stdev=0.124122, best fit=0.688500, best_overall=0.688500, mean_diversity=0.373864,
indivs=222356, elapsed_secs=7366, mean=0.528950, stdev=0.107865, best fit=0.688500, best_overall=0.688500, mean_diversity=0.064070,
indivs=232454, elapsed_secs=7818, mean=0.502195, stdev=0.247925, best fit=0.688600, best_overall=0.688600, mean_diversity=0.102294,
indivs=242552, elapsed_secs=8261, mean=0.490923, stdev=0.113329, best fit=0.688600, best_overall=0.688600, mean_diversity=0.151133,
indivs=252650, elapsed_secs=8718, mean=0.498386, stdev=0.100886, best fit=0.688600, best_overall=0.688600, mean_diversity=0.224831,
indivs=262748, elapsed_secs=9158, mean=0.576254, stdev=0.078499, best fit=0.688600, best_overall=0.688600, mean_diversity=0.097648,
indivs=272846, elapsed_secs=9611, mean=0.507872, stdev=0.069321, best fit=0.688600, best_overall=0.688600, mean_diversity=0.133724,
indivs=282944, elapsed_secs=10059, mean=0.511515, stdev=0.200023, best fit=0.688900, best_overall=0.688900, mean_diversity=0.363913,
indivs=293042, elapsed_secs=10522, mean=0.528568, stdev=0.174977, best fit=0.690100, best_overall=0.690100, mean_diversity=0.120961,
indivs=303140, elapsed_secs=10948, mean=0.501893, stdev=0.018916, best fit=0.690100, best_overall=0.690100, mean_diversity=0.083892,
indivs=313238, elapsed_secs=11374, mean=0.547866, stdev=0.169594, best fit=0.690100, best_overall=0.690100, mean_diversity=0.366667,
indivs=323336, elapsed_secs=11813, mean=0.487276, stdev=0.088790, best fit=0.690100, best_overall=0.690100, mean_diversity=0.254275,
indivs=333434, elapsed_secs=12268, mean=0.528628, stdev=0.190533, best fit=0.690100, best_overall=0.690100, mean_diversity=0.099529,
indivs=343532, elapsed_secs=12714, mean=0.505146, stdev=0.064909, best fit=0.690100, best_overall=0.690100, mean_diversity=0.211297,
indivs=353630, elapsed_secs=13182, mean=0.576445, stdev=0.115142, best fit=0.690500, best_overall=0.690500, mean_diversity=0.229040,
