Random seed = 3869122562
/p/work/rditljtd/automl_zero/baseline_full.db3
evol_id:33688
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_full.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=9, mean=0.503588, stdev=0.003271, best fit=0.511400, best_overall=0.511400, mean_diversity=0.196228,
indivs=20396, elapsed_secs=25, mean=0.538284, stdev=0.061235, best fit=0.569200, best_overall=0.569200, mean_diversity=0.182763,
indivs=30494, elapsed_secs=56, mean=0.563770, stdev=0.111281, best fit=0.624900, best_overall=0.624900, mean_diversity=0.121908,
indivs=40592, elapsed_secs=66, mean=0.591370, stdev=0.076659, best fit=0.669400, best_overall=0.669400, mean_diversity=0.168235,
indivs=50690, elapsed_secs=79, mean=0.612371, stdev=0.095100, best fit=0.669400, best_overall=0.669400, mean_diversity=0.166552,
indivs=60788, elapsed_secs=88, mean=0.606208, stdev=0.046220, best fit=0.669600, best_overall=0.669600, mean_diversity=0.252020,
indivs=70886, elapsed_secs=97, mean=0.617780, stdev=0.113711, best fit=0.669600, best_overall=0.669600, mean_diversity=0.124000,
indivs=80984, elapsed_secs=106, mean=0.593264, stdev=0.055050, best fit=0.669600, best_overall=0.669600, mean_diversity=0.167228,
indivs=91082, elapsed_secs=115, mean=0.623528, stdev=0.094941, best fit=0.669600, best_overall=0.669600, mean_diversity=0.297540,
indivs=101180, elapsed_secs=125, mean=0.587291, stdev=0.089349, best fit=0.669600, best_overall=0.669600, mean_diversity=0.173829,
indivs=111278, elapsed_secs=138, mean=0.591743, stdev=0.080244, best fit=0.669600, best_overall=0.669600, mean_diversity=0.145754,
indivs=121376, elapsed_secs=149, mean=0.616887, stdev=0.110209, best fit=0.669600, best_overall=0.669600, mean_diversity=0.159865,
indivs=131474, elapsed_secs=157, mean=0.584724, stdev=0.119871, best fit=0.669600, best_overall=0.669600, mean_diversity=0.165556,
indivs=141572, elapsed_secs=167, mean=0.599648, stdev=0.075705, best fit=0.669600, best_overall=0.669600, mean_diversity=0.212047,
indivs=151670, elapsed_secs=175, mean=0.620570, stdev=0.109595, best fit=0.669600, best_overall=0.669600, mean_diversity=0.185532,
indivs=161768, elapsed_secs=184, mean=0.595145, stdev=0.095688, best fit=0.669600, best_overall=0.669600, mean_diversity=0.259652,
indivs=171866, elapsed_secs=195, mean=0.596932, stdev=0.051890, best fit=0.669600, best_overall=0.669600, mean_diversity=0.229037,
indivs=181964, elapsed_secs=203, mean=0.628141, stdev=0.068036, best fit=0.669600, best_overall=0.669600, mean_diversity=0.124232,
indivs=192062, elapsed_secs=214, mean=0.618407, stdev=0.073585, best fit=0.669600, best_overall=0.669600, mean_diversity=0.249050,
indivs=202160, elapsed_secs=224, mean=0.618843, stdev=0.111368, best fit=0.669600, best_overall=0.669600, mean_diversity=0.172893,
indivs=212258, elapsed_secs=233, mean=0.638156, stdev=0.064877, best fit=0.669600, best_overall=0.669600, mean_diversity=0.199234,
indivs=222356, elapsed_secs=242, mean=0.616399, stdev=0.123622, best fit=0.669600, best_overall=0.669600, mean_diversity=0.153027,
indivs=232454, elapsed_secs=251, mean=0.621963, stdev=0.074374, best fit=0.669600, best_overall=0.669600, mean_diversity=0.145477,
indivs=242552, elapsed_secs=267, mean=0.611340, stdev=0.137509, best fit=0.670900, best_overall=0.670900, mean_diversity=0.210612,
indivs=252650, elapsed_secs=288, mean=0.571951, stdev=0.133624, best fit=0.671100, best_overall=0.671100, mean_diversity=0.120519,
indivs=262748, elapsed_secs=308, mean=0.626523, stdev=0.090409, best fit=0.671600, best_overall=0.671600, mean_diversity=0.124371,
indivs=272846, elapsed_secs=322, mean=0.581239, stdev=0.158083, best fit=0.671900, best_overall=0.671900, mean_diversity=0.233604,
indivs=282944, elapsed_secs=347, mean=0.623196, stdev=0.090418, best fit=0.671900, best_overall=0.671900, mean_diversity=0.153938,
indivs=293042, elapsed_secs=371, mean=0.616232, stdev=0.103504, best fit=0.671900, best_overall=0.671900, mean_diversity=0.269124,
indivs=303140, elapsed_secs=391, mean=0.578140, stdev=0.160991, best fit=0.671900, best_overall=0.671900, mean_diversity=0.117546,
indivs=313238, elapsed_secs=417, mean=0.634753, stdev=0.060459, best fit=0.671900, best_overall=0.671900, mean_diversity=0.142080,
